DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	10q24.1	10	97296433		ARHGAP19 - Metazoa_SRP	ENSG00000213390	ENSG00000255851		3760	857	rs10748694-A	rs10748694	0	10748694	intergenic_variant	1	0.4512	2E-07	6.69897000433602		0.0765	[0.048-0.105] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q36.3	2	226236695		NYAP2 - MIR5702	ENSG00000144460	ENSG00000263363		506808	422015	rs2972144-A	rs2972144	0	2972144	intergenic_variant	1	0.2373	1E-06	6		0.085	[0.051-0.119] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	17q12	17	37739961		HNF1B			ENSG00000275410			rs10908278-A	rs10908278	0	10908278	intron_variant	0	0.5839	4E-08	7.39794000867204		0.0878	[0.057-0.119] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3p25.2	3	12351626		PPARG			ENSG00000132170			rs1801282-C	rs1801282	0	1801282	missense_variant	0	0.8764	2E-07	6.69897000433602		0.1164	[0.072-0.16] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3p25.2	3	12334457		PPARG			ENSG00000132170			rs2012444-T	rs2012444	0	2012444	intron_variant	0	0.1187	2E-07	6.69897000433602		0.1195	[0.075-0.164] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q21.1	3	123363551		ADCY5			ENSG00000173175			rs11717195-T	rs11717195	0	11717195	intron_variant	0	0.7792	2E-09	8.69897000433602		0.1082	[0.073-0.143] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q21.1	3	123375604		ADCY5			ENSG00000173175			rs2877716-T	rs2877716	0	2877716	intron_variant	0	0.2262	5E-10	9.30102999566398		0.1105	[0.076-0.145] decrease	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	3q27.2	3	185785668		IGF2BP2			ENSG00000073792			rs6780171-A	rs6780171	0	6780171	intron_variant	0	0.4252	5E-15	14.301029995664		0.116	[0.087-0.145] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	6p22.3	6	20687890		CDKAL1			ENSG00000145996			rs10440833-A	rs10440833	0	10440833	intron_variant	0	0.2599	3E-11	10.5228787452803		0.1102	[0.078-0.143] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type ii diabetes	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	6p22.3	6	20686342		CDKAL1			ENSG00000145996			rs7766070-A	rs7766070	0	7766070	intron_variant	0	0.2663	5E-13	12.301029995664		0.1184	[0.086-0.151] increase	NR [18881775] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093109	Genome-wide genotyping array
Type 2 diabetes (adjusted for BMI)	16,677 South Asian ancestry cases, 33,856 South Asian ancestry controls	NA	2q36.3	2	226239001		NYAP2 - MIR5702	ENSG00000144460	ENSG00000263363		509114	419709	rs2138157-A	rs2138157	0	2138157	intergenic_variant	1	0.2376	1E-08	8		0.1025	[0.067-0.138] decrease	NR [18738826] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST90093110	Genome-wide genotyping array
